Course,University,URL
Program on the Environment (ENVIR),University of Washington,http://www.washington.edu/students/crscat/envst.html
Bioresource and Science Engineering (BSE),University of Washington,http://www.washington.edu/students/crscat/bse.html
Environmental Science and Resource Management (ESRM),University of Washington,http://www.washington.edu/students/crscat/esrm.html
School of Environmental and Forest Sciences (SEFS),University of Washington,http://www.washington.edu/students/crscat/sefs.html
Friday Harbor Labs (FHL),University of Washington,http://www.washington.edu/students/crscat/fhl.html
School of Marine and Environmental Affairs (SMEA),University of Washington,http://www.washington.edu/students/crscat/smea.html
Marine Biology (MARBIO),University of Washington,http://www.washington.edu/students/crscat/marbio.html
Oceanography (OCEAN),University of Washington,http://www.washington.edu/students/crscat/ocean.html
Quantitative Science (Q SCI),University of Washington,http://www.washington.edu/students/crscat/quantsci.html
Quantitative Ecology and Resource Management (QERM),University of Washington,http://www.washington.edu/students/crscat/quante.html
Quaternary Sciences (QUAT),University of Washington,http://www.washington.edu/students/crscat/qrc.html
Informatics (INFO),University of Washington,http://www.washington.edu/students/crscat/info.html
Information Management and Technology (IMT),University of Washington,http://www.washington.edu/students/crscat/imt.html
Information Science (INSC),University of Washington,http://www.washington.edu/students/crscat/insc.html
Information Technology Applications (ITA),University of Washington,http://www.washington.edu/students/crscat/ita.html
Library and Information Science (LIS),University of Washington,http://www.washington.edu/students/crscat/lis.html
Library Information Technoolgy in Schools (LITS),University of Washington,http://www.washington.edu/students/crscat/lits.html
Biomolecular Structure and Design (BMSD),University of Washington,http://www.washington.edu/students/crscat/bmsd.html
Data Science (DATA),University of Washington,http://www.washington.edu/students/crscat/data.html
Graduate School (GRDSCH),University of Washington,http://www.washington.edu/students/crscat/grad.html
Human-Computer Interaction Design (HCID),University of Washington,http://www.washington.edu/students/crscat/hcid.html
Individual PhD (IPHD),University of Washington,http://www.washington.edu/students/crscat/iphd.html
Molecular and Cellular Biology (MCB),University of Washington,http://www.washington.edu/students/crscat/mcb.html
Molecular Engineering (MOLENG),University of Washington,http://www.washington.edu/students/crscat/moleng.html
Museology (MUSEUM),University of Washington,http://www.washington.edu/students/crscat/museo.html
Near and Middle Eastern Studies (N MES),University of Washington,http://www.washington.edu/students/crscat/nearmide.html
Neurobiology and Behavior (NEUBEH),University of Washington,http://www.washington.edu/students/crscat/neurobio.html
Neuroscience (NEURO),University of Washington,http://www.washington.edu/students/crscat/neuro.html
Nutritional Science (NUTR),University of Washington,http://www.washington.edu/students/crscat/nutrit.html
"Science, Technology, and Society Studies (STSS)",University of Washington,http://www.washington.edu/students/crscat/stss.html
Technology Innovation (TECHIN),University of Washington,http://www.washington.edu/students/crscat/techin.html
Bioengineering (BIOEN),University of Washington,http://www.washington.edu/students/crscat/bioeng.html
Pharmaceutical Bioengineering (PHARBE),University of Washington,http://www.washington.edu/students/crscat/pharbe.html
Global Health (G H),University of Washington,http://www.washington.edu/students/crscat/gh.html
University Conjoint Courses (UCONJ),University of Washington,http://www.washington.edu/students/crscat/uconjoint.html
Law (LAW),University of Washington,http://www.washington.edu/students/crscat/law.html
Law A (LAW A),University of Washington,http://www.washington.edu/students/crscat/lawa.html
Law B (LAW B),University of Washington,http://www.washington.edu/students/crscat/lawb.html
Law C (LAW C),University of Washington,http://www.washington.edu/students/crscat/lawc.html
Law E (LAW E),University of Washington,http://www.washington.edu/students/crscat/lawe.html
Law (Health) (LAW H),University of Washington,http://www.washington.edu/students/crscat/lawh.html
Law (Intellectual Property) (LAW P),University of Washington,http://www.washington.edu/students/crscat/lawp.html
Law (Taxation) (LAW T),University of Washington,http://www.washington.edu/students/crscat/lawt.html
Anesthesiology (ANEST),University of Washington,http://www.washington.edu/students/crscat/anest.html
Biochemistry (BIOC),University of Washington,http://www.washington.edu/students/crscat/bioch.html
Bioethics and Humanities (B H),University of Washington,http://www.washington.edu/students/crscat/bh.html
Biological Structure (B STR),University of Washington,http://www.washington.edu/students/crscat/biostruct.html
Biomedical Informatics and Medical Education (BIME),University of Washington,http://www.washington.edu/students/crscat/bime.html
Comparative Medicine (C MED),University of Washington,http://www.washington.edu/students/crscat/compmed.html
Conjoint Courses (CONJ),University of Washington,http://www.washington.edu/students/crscat/conj.html
Family Medicine (FAMED),University of Washington,http://www.washington.edu/students/crscat/famed.html
Genome Sciences (GENOME),University of Washington,http://www.washington.edu/students/crscat/genome.html
Global Health (G H),University of Washington,http://www.washington.edu/students/crscat/gh.html
Human Biology (HUBIO),University of Washington,http://www.washington.edu/students/crscat/humbio.html
Immunology (IMMUN),University of Washington,http://www.washington.edu/students/crscat/immun.html
Laboratory Medicine (LAB M),University of Washington,http://www.washington.edu/students/crscat/labmed.html
MEDEX (MEDEX),University of Washington,http://www.washington.edu/students/crscat/medex.html
Emergency Medicine (MED EM),University of Washington,http://www.washington.edu/students/crscat/medem.html
Medicine (MED),University of Washington,http://www.washington.edu/students/crscat/medicine.html
Medicine Elective Clerkships (MEDECK),University of Washington,http://www.washington.edu/students/crscat/medeck.html
Medicine Required Clerkships (MEDRCK),University of Washington,http://www.washington.edu/students/crscat/medrck.html
Medical Science (MEDSCI),University of Washington,http://www.washington.edu/students/crscat/medsci.html
Microbiology (MICROM),University of Washington,http://www.washington.edu/students/crscat/microbio.html
Neurological Surgery (NEUR S),University of Washington,http://www.washington.edu/students/crscat/neurosurg.html
Neurology (NEURL),University of Washington,http://www.washington.edu/students/crscat/neurl.html
Obstetrics and Gynecology (OB GYN),University of Washington,http://www.washington.edu/students/crscat/obgyn.html
Ophthalmology (OPHTH),University of Washington,http://www.washington.edu/students/crscat/ophthal.html
Orthopaedics (ORTHP),University of Washington,http://www.washington.edu/students/crscat/orthop.html
Otolaryngology-Head and Neck Surgery (OTOHN),University of Washington,http://www.washington.edu/students/crscat/otol.html
Pathology (PATH),University of Washington,http://www.washington.edu/students/crscat/patho.html
Pediatrics (PEDS),University of Washington,http://www.washington.edu/students/crscat/pediat.html
Pharmacology (PHCOL),University of Washington,http://www.washington.edu/students/crscat/pharma.html
Physiology and Biophysics (P BIO),University of Washington,http://www.washington.edu/students/crscat/physiolbio.html
Psychiatry and Behavioral Sciences (PBSCI),University of Washington,http://www.washington.edu/students/crscat/psychbehav.html
Radiation Oncology (R ONC),University of Washington,http://www.washington.edu/students/crscat/radonc.html
Radiology (RADGY),University of Washington,http://www.washington.edu/students/crscat/radiol.html
Prosthetics and Orthotics (RHB PO),University of Washington,http://www.washington.edu/students/crscat/rhbpo.html
Rehabilitation Medicine (REHAB),University of Washington,http://www.washington.edu/students/crscat/rehab.html
Surgery (SURG),University of Washington,http://www.washington.edu/students/crscat/surg.html
Urology (UROL),University of Washington,http://www.washington.edu/students/crscat/uro.html
Infant and Early Childhood Mental Health (IECMH),University of Washington,http://www.washington.edu/students/crscat/iecmh.html
Nursing (NSG),University of Washington,http://www.washington.edu/students/crscat/nsg.html
Nursing (NURS),University of Washington,http://www.washington.edu/students/crscat/nursing.html
Nursing Clinical (NCLIN),University of Washington,http://www.washington.edu/students/crscat/nursingcl.html
Nursing Methods (NMETH),University of Washington,http://www.washington.edu/students/crscat/nursingmeth.html
Medicinal Chemistry (MEDCH),University of Washington,http://www.washington.edu/students/crscat/medchem.html
Pharmaceutics (PCEUT),University of Washington,http://www.washington.edu/students/crscat/pharmceu.html
Pharmacy (PHARM),University of Washington,http://www.washington.edu/students/crscat/pharmacy.html
Pharmacy Practice (PHARMP),University of Washington,http://www.washington.edu/students/crscat/pharmp.html
Pharmacy Regulatory Affairs (PHRMRA),University of Washington,http://www.washington.edu/students/crscat/phrmra.html
Public Affairs Executive MPA (PA EX),University of Washington,http://www.washington.edu/students/crscat/paex.html
