Course_Name,Link
Bachelor of Health Science - Standard Pathway,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56176482&institutionid=142314&course=Bachelor-of-Health-Science---Standard-Pathway
Bachelor of Health Science in Managing Care of the Older Person,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56176490&institutionid=142314&course=Bachelor-of-Health-Science-in-Managing-Care-of-the-Older-Person
Bachelor of International Hospitality Management in Accommodation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153253&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Accommodation
Bachelor of International Hospitality Management in Event Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153269&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Event-Management
Bachelor of International Hospitality Management in Food and Beverage,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153276&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Food-and-Beverage
Bachelor of International Hospitality Management in Human Resource Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153284&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Human-Resource-Management
Bachelor of International Hospitality Management in Marketing,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153289&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Marketing
Bachelor of International Hospitality Management in Tourism,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153298&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Tourism
Bachelor of International Tourism Management in Destination Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153339&institutionid=142314&course=Bachelor-of-International-Tourism-Management-in-Destination-Management
Bachelor of International Tourism Management in Travel Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815342&institutionid=142314&course=Bachelor-of-International-Tourism-Management-in-Travel-Management
Bachelor of Laws,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154608&institutionid=142314&course=Bachelor-of-Laws
Bachelor of Mathematical Sciences in Analytics Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56598962&institutionid=142314&course=Bachelor-of-Mathematical-Sciences-in-Analytics-Major
Bachelor of Mathematical Sciences in Applied Mathematics Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815372&institutionid=142314&course=Bachelor-of-Mathematical-Sciences-in-Applied-Mathematics-Major
Bachelor of Mathematical Sciences in Astronomy Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815376&institutionid=142314&course=Bachelor-of-Mathematical-Sciences-in-Astronomy-Major
Bachelor of Mathematical Sciences in Computer Science Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815378&institutionid=142314&course=Bachelor-of-Mathematical-Sciences-in-Computer-Science-Major
Bachelor of Medical Laboratory Science,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2139846&institutionid=142314&course=Bachelor-of-Medical-Laboratory-Science
Bachelor of Science - Applied Conservation Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815414&institutionid=142314&course=Bachelor-of-Science---Applied-Conservation-Major
Bachelor of Science - Biomedical Science Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815478&institutionid=142314&course=Bachelor-of-Science---Biomedical-Science-Major
Bachelor of Science in Analytics Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57095686&institutionid=142314&course=Bachelor-of-Science-in-Analytics-Major
Bachelor of Science in Applied Mathematics Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57095684&institutionid=142314&course=Bachelor-of-Science-in-Applied-Mathematics-Major
Bachelor of Science in Astronomy Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57095680&institutionid=142314&course=Bachelor-of-Science-in-Astronomy-Major
Bachelor of Science in Chemistry Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815486&institutionid=142314&course=Bachelor-of-Science-in-Chemistry-Major
