Course,University,URL
Slavic (SLAV),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/slav/
Social Work (SOCW),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/socw/
Sociology (SOC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/soc/
Spanish (SPAN),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/span/
Special Education (SPED),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/sped/
Speech and Hearing Science (SHS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/shs/
Statistics (STAT),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/stat/
Strategic Brand Communication (SBC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/sbc/
Swahili (SWAH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/swah/
Systems Engineering and Design (SE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/se/
Technical Systems Management (TSM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/tsm/
Technology and Management (TMGT),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/tmgt/
Technology Entrepreneurship (TE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/te/
Theatre (THEA),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/thea/
Theoretical and Appl Mechanics (TAM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/tam/
Translation Studies (TRST),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/trst/
Turkish (TURK),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/turk/
Ukrainian (UKR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ukr/
Urban and Regional Planning (UP),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/up/
Veterinary Clinical Medicine (VCM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/vcm/
Veterinary Medicine Courses (VM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/vm/
Wolof (WLOF),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/wlof/
Women and Gender in Global Perspectives (WGGP),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/wggp/
Writing Studies (WRIT),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/writ/
Yiddish (YDSH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ydsh/
Zulu (ZULU),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/zulu/
